name	m	weight	oil
968F1	JK968	0.34	2.14
968F1	JK968	0.34	2.203
968F1	JK968	0.34	2.275
968F1	JK968	0.34	2.353
968F1	JK968	0.34	3.103
968F1	JK968	0.34	3.275
968F1	JK968	0.34	4.077
968F1	JK968	0.33	3.447
968F1	JK968	0.33	3.685
968F1	JK968	0.33	4.035
968F1	JK968	0.32	2.182
968F1	JK968	0.32	2.25
968F1	JK968	0.32	3.13
968F1	JK968	0.32	3.264
968F1	JK968	0.32	5.114
968F1	JK968	0.31	3.666
968F1	JK968	0.31	4.068
968F1	JK968	0.28	2.357
968F1	JK968	0.28	2.967
968F1	JK968	0.28	3.542
968F1	JK968	0.27	2.861
968F1	JK968	0.23	2.921
968F1	JK968	0.2	2.585
by815_gy923	GY923/BY815	0.35	9.063
by815_gy923	GY923/BY815	0.33	8.761
by815_gy923	GY923/BY815	0.2	7.234
by815_gy923	GY923/BY815	0.2	7.358
by815_gy923	GY923/BY815	0.2	9.082
by815_q319	Qi319/BY815	0.37	4.427
by815_q319	Qi319/BY815	0.36	6.218
by815_q319	Qi319/BY815	0.33	4.723
by815_q319	Qi319/BY815	0.33	4.781
by815_q319	Qi319/BY815	0.32	5.139
by815_q319	Qi319/BY815	0.32	5.366
by815_q319	Qi319/BY815	0.31	4.48
by815_q319	Qi319/BY815	0.31	4.53
by815_q319	Qi319/BY815	0.31	4.975
by815_q319	Qi319/BY815	0.31	5.712
by815_q319	Qi319/BY815	0.31	5.737
by815_q319	Qi319/BY815	0.3	4.476
by815_q319	Qi319/BY815	0.3	5.134
by815_q319	Qi319/BY815	0.3	5.415
by815_q319	Qi319/BY815	0.3	6.099
by815_q319	Qi319/BY815	0.29	5.091
by815_q319	Qi319/BY815	0.29	5.459
by815_q319	Qi319/BY815	0.29	5.854
by815_q319	Qi319/BY815	0.28	4.802
by815_q319	Qi319/BY815	0.28	5.274
by815_q319	Qi319/BY815	0.28	5.433
by815_q319	Qi319/BY815	0.28	5.584
by815_q319	Qi319/BY815	0.28	5.606
by815_q319	Qi319/BY815	0.28	5.677
by815_q319	Qi319/BY815	0.28	6.425
by815_q319	Qi319/BY815	0.27	5.178
by815_q319	Qi319/BY815	0.27	5.684
by815_q319	Qi319/BY815	0.27	5.78
by815_q319	Qi319/BY815	0.27	5.847
by815_q319	Qi319/BY815	0.27	5.952
by815_q319	Qi319/BY815	0.27	6.006
by815_q319	Qi319/BY815	0.27	6.352
by815_q319	Qi319/BY815	0.27	6.376
by815_q319	Qi319/BY815	0.27	6.668
by815_q319	Qi319/BY815	0.27	7.169
by815_q319	Qi319/BY815	0.26	5.264
by815_q319	Qi319/BY815	0.26	5.66
by815_q319	Qi319/BY815	0.26	5.897
by815_q319	Qi319/BY815	0.26	5.928
by815_q319	Qi319/BY815	0.25	4.58
by815_q319	Qi319/BY815	0.25	5.453
by815_q319	Qi319/BY815	0.25	5.993
by815_q319	Qi319/BY815	0.25	6.106
by815_q319	Qi319/BY815	0.25	6.392
by815_q319	Qi319/BY815	0.25	6.413
by815_q319	Qi319/BY815	0.24	5.79
by815_q319	Qi319/BY815	0.23	5.413
by815_q319	Qi319/BY815	0.23	5.48
by815_q319	Qi319/BY815	0.23	5.863
by815_q319	Qi319/BY815	0.23	6.037
by815_q319	Qi319/BY815	0.23	6.132
by815_q319	Qi319/BY815	0.22	4.413
by815_q319	Qi319/BY815	0.22	5.337
by815_q319	Qi319/BY815	0.21	5.148
by815_q319	Qi319/BY815	0.21	5.27
by815_q319	Qi319/BY815	0.21	6.112
by815_q319	Qi319/BY815	0.2	5.892
by815_z58	Z58/BY815	0.5	5.216
by815_z58	Z58/BY815	0.5	6.049
by815_z58	Z58/BY815	0.5	6.085
by815_z58	Z58/BY815	0.5	6.675
by815_z58	Z58/BY815	0.5	6.761
by815_z58	Z58/BY815	0.5	7.106
by815_z58	Z58/BY815	0.49	6.619
by815_z58	Z58/BY815	0.49	6.91
by815_z58	Z58/BY815	0.49	7.324
by815_z58	Z58/BY815	0.48	5.718
by815_z58	Z58/BY815	0.48	6.028
by815_z58	Z58/BY815	0.48	6.077
by815_z58	Z58/BY815	0.48	6.377
by815_z58	Z58/BY815	0.48	6.49
by815_z58	Z58/BY815	0.48	7.823
by815_z58	Z58/BY815	0.47	5.847
by815_z58	Z58/BY815	0.47	5.856
by815_z58	Z58/BY815	0.47	5.932
by815_z58	Z58/BY815	0.47	5.952
by815_z58	Z58/BY815	0.47	5.978
by815_z58	Z58/BY815	0.47	6.458
by815_z58	Z58/BY815	0.47	6.683
by815_z58	Z58/BY815	0.47	6.805
by815_z58	Z58/BY815	0.47	6.946
by815_z58	Z58/BY815	0.46	5.633
by815_z58	Z58/BY815	0.46	5.975
by815_z58	Z58/BY815	0.46	6.066
by815_z58	Z58/BY815	0.46	6.179
by815_z58	Z58/BY815	0.46	6.735
by815_z58	Z58/BY815	0.46	6.742
by815_z58	Z58/BY815	0.45	5.806
by815_z58	Z58/BY815	0.45	6.599
by815_z58	Z58/BY815	0.45	7.025
by815_z58	Z58/BY815	0.44	6.298
by815_z58	Z58/BY815	0.44	6.8
by815_z58	Z58/BY815	0.44	7.206
by815_z58	Z58/BY815	0.44	10.258
