m	weight	oil
XY335	0.45	2.333
XY335	0.39	2.329
XY335	0.43	2.312
XY335	0.43	2.298
XY335	0.46	2.287
XY335	0.44	2.283
XY335	0.41	2.263
XY335	0.43	2.262
XY335	0.42	2.246
XY335	0.43	2.234
XY335	0.41	2.167
XY335	0.43	2.162
XY335	0.41	2.144
XY335	0.37	2.11
XY335	0.39	2.084
XY335	0.27	2.081
XY335	0.42	1.978
XY335	0.44	1.953
XY335	0.43	1.908
XY335	0.4	1.789
XY335	0.43	1.735
XY335	0.45	1.689
XY335	0.47	1.686
XY335	0.42	1.485
ZD958	0.44	4.104
ZD958	0.36	3.672
ZD958	0.29	3.668
ZD958	0.43	3.642
ZD958	0.29	3.57
ZD958	0.46	3.27
ZD958	0.44	3.259
ZD958	0.42	3.239
ZD958	0.36	3.208
ZD958	0.39	3.167
ZD958	0.28	3.134
ZD958	0.49	3.133
ZD958	0.37	3.124
ZD958	0.47	3.083
ZD958	0.41	3.077
ZD958	0.4	3.069
ZD958	0.35	3.055
ZD958	0.45	3.05
ZD958	0.35	3.013
ZD958	0.35	2.993
ZD958	0.5	2.933
ZD958	0.39	2.909
ZD958	0.43	2.844
ZD958	0.35	2.81
ZD958	0.37	2.784
ZD958	0.25	2.777
ZD958	0.36	2.719
ZD958	0.4	2.702
ZD958	0.4	2.695
ZD958	0.32	2.63
ZD958	0.36	2.614
ZD958	0.44	2.586
ZD958	0.35	2.567
ZD958	0.49	2.545
ZD958	0.32	2.521
ZD958	0.29	2.513
ZD958	0.33	2.509
ZD958	0.35	2.476
ZD958	0.4	2.467
ZD958	0.37	2.46
ZD958	0.36	2.414
ZD958	0.3	2.414
ZD958	0.43	2.413
ZD958	0.26	2.387
ZD958	0.45	2.379
ZD958	0.37	2.377
ZD958	0.31	2.265
ZD958	0.3	2.17
ZD958	0.35	1.784
