name	male	female	group	type	weight	oil
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.44	4.828
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.42	4.825
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.47	4.814
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.42	4.806
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.37	4.803
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.43	4.796
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.45	4.787
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.39	4.778
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.44	4.768
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.4	4.761
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.46	4.746
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.46	4.742
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.38	4.734
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.42	4.717
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.43	4.669
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.46	4.648
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.47	4.637
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.39	4.614
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.49	4.604
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.43	4.597
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.46	4.589
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.41	4.587
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.4	4.587
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.43	4.54
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.37	4.527
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.43	4.472
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.49	4.432
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.44	4.422
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.47	4.412
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.49	4.384
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.42	4.364
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.48	4.364
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.37	4.339
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.48	4.232
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.43	4.132
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.41	4.068
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.4	3.992
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.5	3.643
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.42	3.47
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.39	3.277
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.65	3.081
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.31	3.073
958H3ERJL	CHOI3	ZD958	ZD958/CHOI3	C	0.7	2.916
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	7.212
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	6.608
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.41	6.439
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	5.958
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	5.54
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	5.504
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.31	5.474
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.41	5.459
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	5.379
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	5.37
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	5.312
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	5.182
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	5.164
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	5.13
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	5.092
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	5.068
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	5.055
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.74	5.025
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	5.004
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.986
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.942
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	4.915
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.911
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.889
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.877
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.829
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.81
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.793
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.33	4.792
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	4.787
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.779
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	4.746
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.728
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.726
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.725
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.715
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.35	4.703
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.68
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.34	4.677
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	4.676
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.663
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.79	4.662
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.32	4.623
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.39	4.618
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.614
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.606
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.603
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.37	4.598
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.43	4.593
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.4	4.579
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.38	4.574
958H4-2DAN	CHOI4	ZD958	ZD958/CHOI4	H	0.36	4.573
